"","coef","exp(coef)","se(coef)","Pr(>|z|)"
"IFNA14","3.2481153739349","25.7417805428615","2.1933083950024","0.138627758475223"
"IFNA16","-36.1936259305297","1.91120810416566e-16","19003.2080567229","0.998480345119425"
"IFNA2","-47.5455816094111","2.24499960099543e-21","27450.6107979951","0.998618031969781"
"IFNA4","-1.16402397029006","0.312227256440409","1.35443859180281","0.390111952070173"
"IFNA5","1.32463161339343","3.76079967155296","1.05651888365065","0.209925639536736"
"IFNA6","-38.2476987916008","2.45039145488575e-17","20117.7198224181","0.998483067154869"
"IFNA7","-0.453708546691864","0.635267857185655","1.90025876062236","0.81129056026581"
"IFNA8","0.585698529867374","1.79624527848454","1.06071420953521","0.580829325571076"
"IFNB1","0.179440821369378","1.19654809189467","0.1983322238901","0.365598535630621"
"IFNW1","-0.636676536563156","0.529047776443927","0.912775229780758","0.485479100969683"
"IFT122","-0.240328537771734","0.786369466550398","0.429396785255794","0.575691776619196"
"IGFALS","0.18413048651256","1.20217268018274","0.215238567944737","0.392290108931146"
"IGFL1","0.282663276722213","1.32665836984395","0.113490616155827","0.0127516383099557"
"IGFL2","0.169951709430067","1.18524761365558","0.161102088669366","0.291456536956633"
"IGFL3","0.0863144400498179","1.0901490609429","0.207091815142138","0.676829748292489"
"IGFL4","-0.127936235622608","0.879909484236295","0.42698762399803","0.76446308968026"
"IK","0.190560257631643","1.20992727879319","0.670199202638235","0.776154618408811"
"IKBIP","-0.581748154362698","0.558920432831835","0.482453978794595","0.227890501264834"
"IKBKB","0.706140612689912","2.02615642714384","0.326427745752531","0.0305229475228383"
"IKBKE","-0.17315133792443","0.841010328455705","0.246138166980812","0.481761576039836"
"IKBKG","0.225311412985103","1.25271276647744","0.475118603882796","0.635342029266158"
"IKZF1","-0.300539611622529","0.740418574396245","0.173170608796823","0.0826502171325299"
"IKZF2","-0.220583474603604","0.802050685204186","0.220855724772376","0.317907433062534"
"IKZF3","-0.182132935698418","0.833490532404679","0.144333155503954","0.206987448016319"
"IKZF4","-1.07010842005002","0.342971330434036","0.565717292933201","0.0585448642360214"
