"","Estimate","Std. Error","Pr(>|z|)"
"APBA3","0.400420324162969","0.401198051002536","0.318249542973736"
"APC","-0.0824861993734746","0.473634449698068","0.861742999746377"
"API5","-0.0254649154547187","0.545767545462259","0.962785084587447"
"APIP","-0.0244499504206098","0.3727623022603","0.947703244788439"
"APLNR","0.218836116807232","0.266681102640305","0.411879267057068"
"APOB","0.135255957933154","0.185755286726816","0.466527549226246"
"APOD","-0.198291397540955","0.128018338189884","0.121398636626085"
"APOH","-1.21846548311936","1.85263363075047","0.510734965921877"
"APOM","0.0948138987464555","0.271538420256848","0.726959396432365"
"APOO","0.0981605714920813","0.331947568418673","0.767450740493683"
"APP","-0.292312310967582","0.342800086468421","0.393814886387129"
"APPL1","0.938236362465198","0.605861750038615","0.121478359997654"
"APPL2","-0.667328409302035","0.480405691820584","0.164804329276638"
"ARFGAP2","-0.0785449563280658","0.631536210802831","0.901021325265936"
"ARFGAP3","-0.357435942357697","0.499040362200778","0.473839118578985"
"ARFRP1","-0.295165622479796","0.435099210761172","0.497526387108973"
"ARHGAP20","0.167740455072779","0.208119774320346","0.420254161271948"
"ARHGAP21","0.0808682079695637","0.347363489949267","0.815912269719618"
"ARHGAP22","0.353514592099101","0.271951854503287","0.193629728903195"
"ARHGAP23","-0.105497490615872","0.329687526575853","0.748974120021597"
"ARHGAP24","-0.2733898635513","0.334615142765965","0.41391255898636"
"ARHGAP25","0.271012033437321","0.227172200583547","0.232876961819571"
"ARHGAP26","-0.144541431391125","0.271151501113299","0.593988441976113"
"ARHGAP27","0.24286685750076","0.380276996113195","0.523045592078742"
